online_order,book_table,rate,votes,location,cuisines,costing,listed_in(type)
Yes,Yes,3.7,111,Koramangala 5th Block,2,900,Delivery
No,No,3.700448817952718,0,HSR,3,400,Dine-out
Yes,No,3.700448817952718,0,RT Nagar,2,150,Desserts
No,No,3.3,4,JP Nagar,1,350,Dine-out
Yes,No,3.700448817952718,0,Brigade Road,2,400,Dine-out
Yes,No,3.4,9,Kumaraswamy Layout,3,250,Delivery
No,No,3.6,28,Marathahalli,2,600,Delivery
No,No,3.8,38,Commercial Street,3,300,Dine-out
No,No,3.700448817952718,0,Kammanahalli,3,450,Delivery
Yes,No,4.1,119,Richmond Road,3,1000,Buffet
Yes,No,3.4,6,Electronic City,2,300,Delivery
Yes,No,3.1,105,Marathahalli,4,400,Dine-out
Yes,No,3.3,18,HSR,2,300,Delivery
Yes,No,3.7,15,Marathahalli,3,500,Delivery
Yes,No,3.4,52,Sarjapur Road,2,600,Dine-out
Yes,No,3.3,11,Sarjapur Road,2,300,Delivery
No,No,3.700448817952718,0,Marathahalli,2,400,Dine-out
Yes,No,3.6,41,Brigade Road,1,500,Dine-out
No,No,4.0,31,Vasanth Nagar,3,1100,Cafes
Yes,No,3.6,206,Cunningham Road,2,400,Delivery
No,No,3.700448817952718,0,Banaswadi,1,100,Delivery
No,No,3.9,39,Bellandur,2,700,Cafes
Yes,No,3.9,134,Jayanagar,3,400,Delivery
Yes,No,3.6,28,BTM,2,450,Delivery
No,No,3.4,6,BTM,1,500,Desserts
Yes,No,3.8,37,Ulsoor,5,400,Delivery
Yes,No,3.5,12,Kammanahalli,4,300,Delivery
Yes,No,3.4,12,Bellandur,1,200,Dine-out
No,No,4.3,294,Koramangala 4th Block,3,850,Delivery
No,No,3.0,241,Whitefield,3,500,Delivery
Yes,No,4.1,176,Basavanagudi,3,800,Delivery
No,No,3.700448817952718,0,Koramangala 7th Block,1,550,Delivery
Yes,No,4.1,825,Brookefield,2,300,Delivery
No,No,3.8,166,Basavanagudi,2,600,Buffet
Yes,No,3.7,216,BTM,2,200,Delivery
Yes,No,3.9,50,Bannerghatta Road,1,600,Cafes
No,No,3.3,62,Banashankari,3,800,Delivery
No,No,4.1,364,Richmond Road,2,400,Dine-out
No,No,3.5,9,Banaswadi,1,350,Desserts
Yes,No,3.3,9,Whitefield,1,300,Delivery
Yes,No,3.1,64,Electronic City,1,600,Cafes
No,No,3.700448817952718,0,Jeevan Bhima Nagar,2,200,Delivery
Yes,Yes,3.7,109,Koramangala 5th Block,2,900,Delivery
Yes,No,4.3,149,Sarjapur Road,3,800,Dine-out
Yes,No,3.3,4,Old Airport Road,1,300,Desserts
