online_order,book_table,rate,votes,location,cuisines,costing,listed_in(type)
Yes,No,3.700448817952718,0,Bellandur,2,500,Dine-out
Yes,No,3.4,6,Koramangala 7th Block,3,200,Delivery
Yes,No,3.8,75,Brigade Road,4,650,Dine-out
Yes,No,4.2,172,Commercial Street,3,800,Delivery
Yes,No,3.9,51,Indiranagar,3,200,Delivery
Yes,No,4.0,253,Jayanagar,2,300,Delivery
Yes,No,4.0,174,Marathahalli,4,350,Delivery
Yes,No,3.7,162,Basaveshwara Nagar,2,400,Dine-out
Yes,No,4.3,1135,Infantry Road,3,800,Cafes
Yes,No,3.3,5,Brigade Road,2,400,Delivery
No,No,3.7,198,Whitefield,3,700,Delivery
No,No,3.3,4,Wilson Garden,2,200,Desserts
Yes,No,3.700448817952718,0,HSR,1,300,Desserts
Yes,No,3.2,87,Domlur,2,600,Delivery
Yes,No,3.8,1850,Indiranagar,2,800,Delivery
No,No,3.700448817952718,0,New BEL Road,5,250,Delivery
No,No,3.700448817952718,0,Whitefield,1,200,Delivery
Yes,No,3.4,43,Ulsoor,2,150,Delivery
No,Yes,3.9,144,Koramangala 5th Block,4,1000,Pubs and bars
No,No,4.1,1075,Indiranagar,3,800,Dine-out
No,No,3.2,4,Bellandur,4,500,Delivery
Yes,No,4.2,450,Jayanagar,3,400,Cafes
Yes,No,3.8,201,Whitefield,4,550,Dine-out
Yes,No,3.7,120,New BEL Road,3,400,Dine-out
Yes,No,3.1,175,Whitefield,2,600,Dine-out
Yes,No,3.9,331,Koramangala 1st Block,2,600,Dine-out
Yes,No,3.8,355,Sarjapur Road,2,850,Dine-out
Yes,Yes,4.4,467,Koramangala 4th Block,7,800,Cafes
Yes,No,4.3,327,Church Street,2,800,Dine-out
Yes,No,3.700448817952718,0,Bellandur,1,200,Delivery
Yes,No,3.5,8,Marathahalli,2,200,Desserts
No,No,3.700448817952718,0,Richmond Road,2,200,Dine-out
No,No,4.5,42,Koramangala 5th Block,5,800,Dine-out
No,No,3.700448817952718,0,JP Nagar,2,300,Dine-out
Yes,No,3.8,60,BTM,1,300,Delivery
No,No,3.700448817952718,0,Banaswadi,4,400,Delivery
Yes,No,3.5,11,Marathahalli,2,200,Delivery
Yes,No,3.0,64,Domlur,3,200,Delivery
Yes,No,4.0,99,JP Nagar,2,250,Delivery
Yes,No,3.8,88,Kalyan Nagar,4,400,Dine-out
Yes,No,3.2,136,Indiranagar,2,300,Delivery
No,No,3.7,91,Jayanagar,2,900,Delivery
No,No,3.700448817952718,0,RT Nagar,1,200,Dine-out
Yes,No,3.9,191,HBR Layout,3,650,Delivery
Yes,No,4.1,18,BTM,2,200,Delivery
Yes,No,3.9,505,Electronic City,4,250,Delivery
Yes,No,3.4,9,Bellandur,2,200,Dine-out
No,Yes,4.1,1372,HSR,4,900,Dine-out
Yes,No,3.700448817952718,0,Basavanagudi,1,100,Delivery
Yes,No,3.1,150,Kalyan Nagar,2,500,Dine-out
Yes,No,4.2,45,Marathahalli,1,250,Delivery
Yes,No,3.6,123,HSR,3,300,Dine-out
Yes,Yes,4.0,940,Church Street,4,1000,Drinks & nightlife
Yes,No,3.9,645,Commercial Street,3,600,Dine-out
Yes,No,4.2,774,Sarjapur Road,2,500,Dine-out
Yes,No,3.5,124,Jeevan Bhima Nagar,8,500,Delivery
Yes,No,3.8,47,Koramangala 7th Block,3,400,Dine-out
Yes,No,3.2,209,Jayanagar,3,250,Delivery
Yes,No,4.1,753,Indiranagar,1,950,Delivery
No,No,3.7,27,Brookefield,4,150,Dine-out
No,No,3.7,203,JP Nagar,3,900,Buffet
Yes,Yes,4.1,533,Sadashiv Nagar,2,1000,Delivery
No,No,3.700448817952718,0,Sahakara Nagar,1,400,Dine-out
No,No,3.700448817952718,0,Brookefield,2,300,Delivery
Yes,No,3.700448817952718,0,Richmond Road,1,800,Delivery
Yes,No,3.700448817952718,0,Electronic City,1,500,Delivery
Yes,No,4.2,180,Koramangala 5th Block,2,350,Delivery
Yes,No,3.5,177,BTM,3,500,Dine-out
Yes,No,3.700448817952718,0,Rajajinagar,2,250,Delivery
No,No,3.700448817952718,0,Whitefield,3,600,Delivery
No,No,3.6,19,Marathahalli,2,700,Dine-out
No,No,3.700448817952718,0,Jayanagar,2,600,Delivery
Yes,No,3.4,6,Bellandur,2,300,Delivery
Yes,No,3.0,46,Koramangala 4th Block,3,200,Delivery
Yes,No,4.0,138,Koramangala 8th Block,4,250,Dine-out
No,No,3.700448817952718,0,Brookefield,2,300,Desserts
Yes,No,4.2,533,Koramangala 5th Block,6,600,Dine-out
Yes,No,3.8,431,Koramangala 5th Block,1,800,Delivery
No,No,3.1,23,HSR,2,300,Delivery
Yes,No,3.6,6,Rajajinagar,4,200,Delivery
No,No,3.700448817952718,0,Bannerghatta Road,4,200,Delivery
Yes,No,4.0,71,BTM,2,300,Desserts
Yes,No,3.7,26,BTM,3,700,Delivery
Yes,No,3.8,24,Brigade Road,2,350,Delivery
Yes,No,3.7,21,Malleshwaram,1,300,Delivery
Yes,No,3.6,23,Brookefield,2,150,Desserts
Yes,No,4.0,560,Indiranagar,3,900,Delivery
No,No,3.1,37,Rajajinagar,1,300,Dine-out
Yes,No,3.4,7,JP Nagar,1,200,Delivery
No,No,3.700448817952718,0,Bellandur,2,400,Dine-out
Yes,No,3.7,35,Sarjapur Road,2,400,Delivery
Yes,Yes,4.0,822,HSR,3,700,Delivery
No,No,3.700448817952718,0,Frazer Town,2,150,Dine-out
Yes,No,3.7,25,Yeshwantpur,2,250,Delivery
No,No,3.2,4,Sarjapur Road,1,300,Delivery
Yes,No,3.8,47,Indiranagar,1,250,Delivery
Yes,No,3.6,9,Electronic City,4,550,Dine-out
Yes,Yes,4.4,211,Koramangala 5th Block,2,800,Delivery
Yes,No,3.1,140,BTM,4,600,Delivery
Yes,No,3.4,19,Ulsoor,3,400,Delivery
No,No,3.700448817952718,0,Bellandur,2,400,Delivery
No,No,3.0,29,Electronic City,2,400,Dine-out
No,No,3.700448817952718,0,Kalyan Nagar,1,400,Delivery
No,No,3.3,11,Bommanahalli,4,300,Delivery
No,No,3.5,6,Frazer Town,1,400,Delivery
No,No,3.700448817952718,0,JP Nagar,2,400,Dine-out
Yes,No,3.9,234,Koramangala 1st Block,2,250,Delivery
Yes,No,3.9,39,BTM,2,200,Delivery
Yes,No,4.0,36,BTM,4,300,Delivery
Yes,No,3.5,8,JP Nagar,3,500,Delivery
Yes,No,4.2,405,Whitefield,1,400,Delivery
Yes,No,3.9,133,Banashankari,5,800,Dine-out
Yes,No,3.1,13,Kalyan Nagar,1,400,Delivery
No,No,3.700448817952718,0,Banashankari,4,350,Dine-out
No,No,3.7,15,Majestic,2,250,Desserts
No,Yes,4.1,1453,JP Nagar,4,800,Delivery
Yes,Yes,4.2,841,Brookefield,6,700,Dine-out
Yes,No,4.0,92,HSR,1,100,Delivery
No,No,3.700448817952718,0,Marathahalli,2,200,Delivery
No,No,3.8,61,Frazer Town,4,1000,Pubs and bars
Yes,No,3.700448817952718,0,HSR,1,800,Delivery
No,Yes,4.0,103,Indiranagar,2,800,Dine-out
No,No,3.7,43,Basaveshwara Nagar,1,150,Dine-out
No,No,3.700448817952718,0,Electronic City,3,200,Delivery
No,No,3.700448817952718,0,Marathahalli,1,150,Dine-out
Yes,No,3.5,13,BTM,1,300,Delivery
No,No,3.700448817952718,0,Banaswadi,2,400,Dine-out
No,No,3.3,8,Yeshwantpur,1,200,Dine-out
No,No,3.700448817952718,0,Sahakara Nagar,2,500,Dine-out
Yes,No,3.8,38,Koramangala 1st Block,1,500,Delivery
Yes,No,4.1,211,Koramangala 5th Block,2,200,Desserts
Yes,No,3.8,230,Koramangala 1st Block,3,600,Delivery
Yes,No,4.2,337,Marathahalli,5,200,Dine-out
Yes,No,3.5,11,Koramangala 1st Block,2,200,Dine-out
Yes,No,4.2,470,Malleshwaram,1,300,Dine-out
Yes,No,3.7,323,Jayanagar,3,850,Delivery
Yes,No,3.1,14,CV Raman Nagar,2,400,Dine-out
Yes,No,3.1,90,BTM,4,300,Delivery
Yes,No,4.4,480,Koramangala 5th Block,3,450,Cafes
Yes,No,4.1,161,Vasanth Nagar,2,300,Delivery
Yes,No,3.700448817952718,0,Marathahalli,3,250,Delivery
Yes,No,3.8,230,Koramangala 1st Block,3,600,Delivery
Yes,No,3.3,5,Indiranagar,6,350,Delivery
No,No,4.3,797,Church Street,7,900,Delivery
Yes,No,4.0,234,CV Raman Nagar,1,650,Delivery
Yes,No,3.7,27,Koramangala 5th Block,4,600,Delivery
Yes,No,4.0,193,Koramangala 6th Block,2,500,Delivery
Yes,No,4.4,275,Indiranagar,2,300,Delivery
Yes,No,3.9,162,Kalyan Nagar,1,750,Delivery
Yes,No,3.9,71,BTM,3,1000,Dine-out
Yes,No,3.6,27,Frazer Town,2,200,Dine-out
Yes,No,3.700448817952718,0,Brigade Road,2,600,Dine-out
No,No,4.0,106,Richmond Road,2,300,Dine-out
Yes,No,4.1,1004,Koramangala 5th Block,4,700,Delivery
Yes,No,3.9,119,Frazer Town,3,1000,Dine-out
Yes,No,3.8,21,Basavanagudi,2,200,Desserts
Yes,Yes,4.0,803,HSR,3,700,Cafes
Yes,No,3.700448817952718,0,"Varthur Main Road, Whitefield",2,200,Delivery
Yes,No,3.9,110,Kammanahalli,1,400,Delivery
Yes,No,3.9,85,Koramangala 7th Block,1,400,Dine-out
No,Yes,4.0,820,New BEL Road,3,1100,Delivery
Yes,No,3.1,125,Whitefield,3,550,Delivery
Yes,No,3.4,7,Whitefield,5,350,Delivery
No,No,3.700448817952718,0,Kumaraswamy Layout,2,400,Cafes
Yes,No,3.700448817952718,0,JP Nagar,1,350,Delivery
No,No,3.700448817952718,0,Jayanagar,1,150,Dine-out
No,No,3.7,41,Kammanahalli,1,400,Dine-out
Yes,Yes,4.1,1547,JP Nagar,5,1000,Delivery
No,No,3.3,4,Richmond Road,1,200,Delivery
Yes,No,3.9,190,Indiranagar,2,600,Delivery
Yes,No,3.6,16,Whitefield,1,300,Delivery
No,No,3.5,11,Sanjay Nagar,2,200,Delivery
No,No,3.700448817952718,0,CV Raman Nagar,2,350,Delivery
No,No,3.700448817952718,0,Banaswadi,2,350,Dine-out
Yes,No,3.9,106,Koramangala 7th Block,2,600,Delivery
Yes,No,3.5,118,Marathahalli,2,200,Delivery
Yes,No,3.6,710,Bellandur,8,600,Dine-out
No,No,3.700448817952718,0,Electronic City,3,600,Delivery
Yes,No,4.3,590,Whitefield,4,550,Delivery
Yes,No,3.4,33,Bellandur,4,800,Delivery
No,No,3.7,30,Indiranagar,2,1100,Delivery
Yes,No,3.9,148,Brigade Road,3,450,Desserts
Yes,No,3.1,46,Marathahalli,3,250,Dine-out
No,No,3.8,76,Malleshwaram,1,200,Dine-out
Yes,No,4.2,537,Koramangala 7th Block,3,450,Dine-out
Yes,No,3.4,33,Shanti Nagar,4,550,Delivery
Yes,No,4.1,115,Indiranagar,2,450,Delivery
Yes,No,3.700448817952718,0,Nagawara,6,450,Delivery
Yes,No,3.9,119,Ulsoor,1,600,Dine-out
No,No,3.700448817952718,0,Bannerghatta Road,2,300,Delivery
Yes,No,3.1,15,HSR,3,400,Delivery
Yes,No,3.3,513,Kumaraswamy Layout,5,700,Delivery
Yes,No,3.3,215,Sarjapur Road,3,600,Delivery
Yes,No,3.700448817952718,0,Brookefield,1,120,Dine-out
Yes,No,3.2,16,HSR,4,200,Delivery
No,No,3.700448817952718,0,BTM,2,450,Delivery
Yes,No,3.700448817952718,0,HSR,3,400,Dine-out
Yes,No,3.7,404,Bellandur,4,500,Delivery
No,No,4.1,435,Koramangala 5th Block,3,500,Dine-out
No,No,3.3,13,Residency Road,2,750,Dine-out
No,No,3.8,31,Jayanagar,1,150,Dine-out
Yes,No,3.8,38,Ulsoor,5,400,Delivery
No,No,4.1,1014,Residency Road,6,500,Dine-out
Yes,No,3.9,157,Wilson Garden,2,450,Delivery
Yes,No,3.8,28,Whitefield,3,700,Dine-out
No,No,4.2,600,Malleshwaram,3,200,Dine-out
Yes,No,3.5,47,Wilson Garden,1,450,Delivery
Yes,No,3.3,218,Brookefield,3,550,Dine-out
Yes,No,3.700448817952718,0,Koramangala 4th Block,2,450,Delivery
Yes,No,3.6,112,Richmond Road,4,500,Dine-out
Yes,No,4.2,132,Brigade Road,1,180,Delivery
Yes,No,3.700448817952718,0,Jalahalli,1,800,Delivery
Yes,No,3.700448817952718,0,Brigade Road,2,600,Dine-out
No,No,4.0,431,Koramangala 5th Block,3,400,Dine-out
Yes,No,4.0,258,Bannerghatta Road,2,500,Delivery
No,No,3.2,11,Majestic,3,450,Delivery
Yes,No,3.700448817952718,0,HSR,3,500,Delivery
Yes,No,3.5,29,Koramangala 7th Block,2,400,Desserts
Yes,No,3.6,198,Marathahalli,2,500,Delivery
No,No,3.6,15,MG Road,1,350,Dine-out
Yes,No,3.6,26,JP Nagar,2,600,Delivery
Yes,No,4.1,840,HSR,5,300,Delivery
Yes,No,3.9,134,Vasanth Nagar,3,550,Delivery
Yes,No,3.700448817952718,0,Brookefield,1,250,Dine-out
Yes,No,4.1,393,Indiranagar,3,600,Delivery
Yes,Yes,4.3,393,Basaveshwara Nagar,3,600,Delivery
Yes,No,4.1,1959,Koramangala 6th Block,2,650,Dine-out
Yes,Yes,3.9,418,Electronic City,4,800,Dine-out
Yes,No,4.1,30,Jayanagar,2,100,Delivery
No,No,3.1,23,Shanti Nagar,2,450,Delivery
No,No,4.3,148,Koramangala 5th Block,2,800,Cafes
No,No,3.3,4,Rajajinagar,1,400,Dine-out
No,No,4.1,119,Frazer Town,2,150,Delivery
Yes,No,4.2,170,JP Nagar,3,600,Delivery
Yes,No,3.700448817952718,0,Bannerghatta Road,3,250,Delivery
Yes,Yes,4.0,380,Cunningham Road,3,850,Dine-out
Yes,No,4.1,8286,Indiranagar,4,750,Buffet
Yes,Yes,4.5,756,Whitefield,8,900,Desserts
Yes,No,3.700448817952718,0,Whitefield,1,250,Desserts
Yes,No,3.6,28,BTM,2,100,Delivery
Yes,No,4.1,117,Richmond Road,6,700,Dine-out
No,No,3.4,5,Indiranagar,1,300,Delivery
No,No,3.6,19,Jayanagar,4,400,Dine-out
Yes,Yes,3.9,53,Indiranagar,3,350,Delivery
Yes,No,4.1,274,Kalyan Nagar,3,900,Delivery
Yes,No,4.0,544,Brookefield,1,450,Dine-out
Yes,Yes,4.2,874,Koramangala 5th Block,4,600,Dine-out
No,No,3.700448817952718,0,Basaveshwara Nagar,1,200,Desserts
No,No,3.8,64,Koramangala 6th Block,1,550,Dine-out
Yes,No,3.9,184,BTM,6,450,Delivery
Yes,No,3.9,914,JP Nagar,4,1000,Delivery
No,No,3.700448817952718,0,Koramangala 8th Block,4,250,Delivery
No,No,3.700448817952718,0,BTM,2,300,Delivery
Yes,No,3.700448817952718,0,Hosur Road,3,250,Delivery
No,No,3.0,26,Bellandur,1,400,Delivery
No,No,3.700448817952718,0,Whitefield,3,600,Dine-out
Yes,No,3.700448817952718,0,BTM,5,400,Dine-out
Yes,No,4.3,661,Jayanagar,2,500,Desserts
No,No,3.9,66,Brigade Road,1,200,Delivery
No,No,3.5,11,Koramangala 6th Block,2,300,Delivery
Yes,No,3.8,108,Koramangala 6th Block,3,400,Dine-out
No,No,3.9,90,Electronic City,3,400,Delivery
Yes,No,3.7,132,JP Nagar,5,400,Delivery
Yes,No,3.4,15,HSR,2,200,Delivery
No,No,3.5,45,Whitefield,3,700,Delivery
Yes,No,4.3,522,Whitefield,1,1000,Delivery
Yes,No,4.5,2407,Malleshwaram,1,150,Delivery
Yes,No,3.3,4,Whitefield,2,200,Delivery
Yes,No,3.9,782,Koramangala 5th Block,1,750,Dine-out
Yes,No,3.5,73,Lavelle Road,2,600,Delivery
No,Yes,3.700448817952718,0,Koramangala 4th Block,5,1100,Delivery
Yes,No,3.7,70,Koramangala 5th Block,1,200,Delivery
Yes,Yes,3.9,224,HSR,3,800,Dine-out
No,No,3.1,7,Brigade Road,1,150,Delivery
No,No,3.3,5,Electronic City,2,300,Dine-out
No,No,3.9,155,Indiranagar,2,700,Dine-out
Yes,No,4.2,1063,Koramangala 5th Block,3,800,Cafes
No,No,3.1,39,JP Nagar,4,400,Delivery
Yes,No,3.4,12,Banashankari,3,150,Delivery
Yes,No,3.8,32,BTM,3,200,Delivery
No,No,3.1,8,Rajajinagar,2,450,Delivery
No,No,3.1,8,Indiranagar,1,150,Delivery
Yes,No,3.9,363,BTM,1,600,Dine-out
Yes,No,3.8,70,Banashankari,1,100,Delivery
Yes,No,3.9,67,Jayanagar,1,200,Dine-out
Yes,No,4.1,638,New BEL Road,7,700,Cafes
Yes,Yes,4.3,393,Basaveshwara Nagar,3,600,Buffet
No,Yes,4.1,1739,Church Street,4,1000,Dine-out
Yes,No,3.4,9,Jayanagar,3,200,Dine-out
Yes,No,3.8,61,HSR,2,400,Dine-out
Yes,Yes,4.2,1028,JP Nagar,5,1100,Dine-out
Yes,No,3.8,77,Kumaraswamy Layout,3,650,Delivery
Yes,No,3.1,22,Domlur,3,300,Delivery
Yes,No,3.3,37,Shivajinagar,2,350,Delivery
Yes,No,3.5,11,Bellandur,3,400,Delivery
Yes,Yes,4.1,678,Koramangala 3rd Block,3,900,Dine-out
No,No,3.8,291,Koramangala 8th Block,3,500,Cafes
Yes,No,3.6,90,Koramangala 7th Block,2,500,Delivery
Yes,No,3.9,110,Koramangala 5th Block,3,200,Delivery
No,No,3.700448817952718,0,Banashankari,2,700,Dine-out
Yes,Yes,3.6,225,Bannerghatta Road,3,700,Delivery
Yes,No,3.9,151,Koramangala 4th Block,2,400,Dine-out
Yes,Yes,4.1,1341,HSR,2,800,Dine-out
No,No,3.0,98,Banashankari,2,800,Dine-out
Yes,No,3.9,58,BTM,2,300,Delivery
No,No,3.6,14,East Bangalore,2,100,Desserts
No,Yes,3.7,41,Majestic,3,700,Dine-out
Yes,No,3.3,7,HSR,2,300,Delivery
Yes,No,3.4,65,Koramangala 6th Block,2,350,Delivery
Yes,No,3.7,81,Brookefield,1,400,Delivery
Yes,No,3.6,32,City Market,3,500,Delivery
No,No,3.700448817952718,0,Jayanagar,5,200,Dine-out
No,Yes,3.8,200,Indiranagar,3,1000,Drinks & nightlife
Yes,No,3.3,23,Yeshwantpur,3,600,Delivery
Yes,No,3.0,4,Basaveshwara Nagar,1,500,Delivery
No,No,3.1,11,BTM,2,500,Dine-out
Yes,Yes,4.2,164,Banashankari,4,500,Cafes
Yes,Yes,4.2,2714,Koramangala 3rd Block,3,1000,Delivery
No,No,3.700448817952718,0,Marathahalli,1,200,Dine-out
Yes,No,3.3,7,Bellandur,1,400,Delivery
Yes,No,3.5,11,Jayanagar,1,200,Delivery
Yes,No,3.6,531,North Bangalore,8,450,Delivery
No,No,3.700448817952718,0,Bannerghatta Road,1,400,Desserts
Yes,No,3.5,8,Frazer Town,2,200,Delivery
No,No,4.0,130,JP Nagar,3,300,Dine-out
Yes,No,3.7,20,BTM,3,300,Delivery
No,No,3.4,10,Frazer Town,2,300,Dine-out
Yes,No,3.5,46,Sarjapur Road,2,600,Delivery
Yes,No,3.4,5,BTM,5,300,Delivery
Yes,No,3.5,16,Sarjapur Road,1,500,Delivery
Yes,No,3.5,15,BTM,2,400,Delivery
Yes,No,3.8,27,Rajajinagar,1,500,Dine-out
No,No,3.5,334,Jayanagar,1,600,Delivery
No,No,3.9,89,Lavelle Road,3,400,Desserts
Yes,Yes,4.2,150,Banashankari,3,600,Delivery
No,No,3.5,65,JP Nagar,3,750,Delivery
Yes,No,3.9,119,Whitefield,6,350,Delivery
Yes,No,4.2,53,Koramangala 5th Block,2,400,Delivery
Yes,No,3.9,156,Wilson Garden,2,450,Dine-out
No,No,3.700448817952718,0,Marathahalli,1,150,Dine-out
No,No,3.700448817952718,0,Marathahalli,2,250,Dine-out
Yes,No,4.0,536,Bannerghatta Road,4,800,Delivery
Yes,No,3.9,264,Banashankari,1,200,Dine-out
Yes,No,3.7,39,HSR,1,500,Desserts
Yes,No,3.9,40,Bannerghatta Road,4,400,Desserts
Yes,No,3.700448817952718,0,HSR,1,500,Delivery
Yes,No,3.6,72,Koramangala 6th Block,1,200,Delivery
Yes,No,3.1,330,Domlur,2,500,Dine-out
Yes,No,3.9,36,Brigade Road,3,600,Dine-out
Yes,No,3.7,55,New BEL Road,3,400,Delivery
No,No,4.3,241,Frazer Town,2,100,Delivery
Yes,No,3.6,11,BTM,1,200,Delivery
No,No,3.6,41,JP Nagar,4,400,Dine-out
Yes,No,4.1,460,Church Street,5,700,Cafes
Yes,No,4.2,121,MG Road,2,500,Cafes
Yes,No,3.7,69,BTM,4,400,Delivery
No,No,3.0,32,Kammanahalli,3,700,Dine-out
Yes,No,3.7,26,Bannerghatta Road,2,900,Desserts
Yes,No,4.0,769,HSR,3,500,Dine-out
Yes,No,3.700448817952718,0,BTM,3,200,Delivery
No,No,4.3,2244,Church Street,2,1100,Pubs and bars
Yes,No,3.9,783,HSR,2,300,Delivery
Yes,No,3.2,47,Whitefield,1,200,Delivery
Yes,No,3.0,6,Ejipura,2,200,Delivery
Yes,Yes,4.2,354,Banashankari,7,800,Dine-out
Yes,No,3.7,26,Bannerghatta Road,2,900,Delivery
Yes,No,3.9,113,Shanti Nagar,3,250,Delivery
Yes,No,3.0,20,Brigade Road,4,400,Dine-out
Yes,No,3.700448817952718,0,Marathahalli,4,300,Delivery
Yes,No,3.700448817952718,0,Koramangala 7th Block,2,300,Cafes
Yes,No,3.9,96,Ejipura,2,500,Delivery
Yes,No,3.2,9,Malleshwaram,1,500,Delivery
No,No,3.1,9,New BEL Road,1,300,Desserts
No,No,3.3,4,Kalyan Nagar,2,800,Dine-out
Yes,No,3.0,13,Nagawara,3,400,Delivery
Yes,No,3.8,104,Banashankari,2,300,Dine-out
Yes,No,3.8,798,Marathahalli,4,450,Delivery
Yes,No,3.1,61,Marathahalli,1,550,Delivery
Yes,No,3.1,22,Sanjay Nagar,2,250,Dine-out
No,No,3.700448817952718,10,JP Nagar,5,400,Dine-out
Yes,No,4.0,87,BTM,1,200,Delivery
Yes,No,3.2,44,JP Nagar,1,200,Delivery
No,No,3.9,82,Majestic,3,450,Delivery
Yes,No,4.1,991,Koramangala 6th Block,3,600,Cafes
Yes,No,4.2,970,Indiranagar,2,1100,Delivery
Yes,No,4.0,576,Koramangala 1st Block,2,600,Delivery
Yes,No,3.5,9,Bannerghatta Road,2,250,Delivery
Yes,No,3.4,6,Koramangala 5th Block,2,400,Delivery
No,No,3.700448817952718,0,Bannerghatta Road,3,800,Dine-out
No,No,3.0,10,Whitefield,2,500,Delivery
No,No,3.7,39,Old Airport Road,2,700,Buffet
Yes,No,3.700448817952718,0,Jayanagar,2,300,Delivery
No,No,3.700448817952718,0,Rajajinagar,1,300,Delivery
Yes,No,3.9,65,Brigade Road,2,250,Dine-out
No,No,3.6,23,Brigade Road,1,200,Delivery
No,No,3.700448817952718,0,Bannerghatta Road,1,300,Delivery
Yes,No,3.9,84,Indiranagar,2,300,Delivery
Yes,No,3.5,18,HSR,2,400,Desserts
No,No,3.9,951,Brigade Road,2,1100,Drinks & nightlife
Yes,No,3.7,103,Koramangala 6th Block,3,400,Dine-out
Yes,No,3.4,68,Sarjapur Road,2,600,Dine-out
Yes,No,4.3,1135,Infantry Road,3,800,Delivery
No,No,3.4,10,Rajajinagar,2,350,Desserts
Yes,No,4.0,223,Rajajinagar,1,650,Delivery
Yes,No,3.8,63,Hosur Road,2,350,Delivery
Yes,No,4.3,49,Bellandur,2,250,Delivery
No,No,3.7,68,Brigade Road,2,500,Delivery
No,No,3.6,19,Whitefield,2,800,Delivery
Yes,No,3.4,13,CV Raman Nagar,2,150,Delivery
Yes,No,3.8,105,Koramangala 6th Block,3,400,Delivery
No,No,3.9,140,Koramangala 7th Block,2,200,Desserts
Yes,No,3.9,21,BTM,1,200,Delivery
Yes,Yes,4.4,9064,Koramangala 4th Block,3,600,Cafes
Yes,No,3.5,15,Koramangala 1st Block,1,400,Delivery
No,No,3.700448817952718,0,Seshadripuram,2,250,Delivery
Yes,No,3.8,14,Jayanagar,3,600,Delivery
Yes,No,3.7,195,BTM,1,400,Delivery
Yes,No,3.3,8,BTM,2,400,Delivery
No,No,3.700448817952718,0,BTM,1,400,Delivery
Yes,No,4.0,353,Sarjapur Road,3,500,Delivery
Yes,No,3.7,43,Thippasandra,2,150,Delivery
Yes,No,3.5,32,Sarjapur Road,2,150,Delivery
Yes,No,3.8,430,Bellandur,4,900,Delivery
Yes,No,3.3,4,HSR,2,200,Delivery
Yes,No,3.7,48,Wilson Garden,1,350,Delivery
No,No,3.0,9,Bannerghatta Road,2,200,Desserts
Yes,No,3.7,181,BTM,2,400,Delivery
Yes,No,3.0,23,Basavanagudi,3,250,Delivery
No,No,3.700448817952718,0,BTM,4,300,Delivery
Yes,No,4.0,55,Brookefield,2,600,Delivery
No,No,3.7,125,Indiranagar,2,300,Delivery
No,No,3.5,11,Koramangala 2nd Block,1,200,Delivery
Yes,No,3.7,19,JP Nagar,1,800,Dine-out
Yes,No,4.1,157,Koramangala 4th Block,1,300,Desserts
Yes,No,3.4,11,Jayanagar,3,200,Delivery
No,No,3.700448817952718,0,Ejipura,2,400,Dine-out
Yes,No,3.700448817952718,0,Bellandur,2,300,Delivery
Yes,No,3.7,2192,Bellandur,4,750,Delivery
No,No,3.700448817952718,0,JP Nagar,2,400,Desserts
No,No,4.1,123,Marathahalli,1,200,Dine-out
Yes,Yes,4.3,1804,Koramangala 5th Block,5,900,Cafes
Yes,No,3.1,36,HSR,2,550,Delivery
Yes,No,3.2,92,Brookefield,1,300,Delivery
No,Yes,4.5,1909,Marathahalli,4,1100,Dine-out
Yes,Yes,4.0,157,Koramangala 2nd Block,8,1100,Desserts
Yes,No,3.3,50,Koramangala 5th Block,1,300,Delivery
No,No,3.700448817952718,0,Seshadripuram,3,350,Dine-out
No,No,4.0,97,Indiranagar,8,1100,Desserts
Yes,No,3.700448817952718,0,Koramangala 6th Block,2,200,Delivery
Yes,No,3.2,711,New BEL Road,3,500,Delivery
Yes,Yes,3.6,108,Kammanahalli,4,800,Dine-out
Yes,Yes,4.4,1851,Koramangala 6th Block,1,1100,Dine-out
Yes,No,3.5,45,Banashankari,3,300,Delivery
Yes,No,4.0,88,Koramangala 5th Block,3,400,Delivery
No,No,4.0,128,Koramangala 5th Block,1,200,Delivery
No,Yes,4.0,3056,Bellandur,4,1000,Buffet
No,No,3.5,46,Rajajinagar,1,300,Delivery
No,No,3.7,58,Church Street,4,250,Dine-out
Yes,No,3.6,79,Ulsoor,2,300,Dine-out
Yes,No,3.7,119,New BEL Road,3,400,Delivery
Yes,No,4.0,280,Seshadripuram,4,600,Delivery
No,No,3.7,107,Koramangala 1st Block,4,500,Delivery
Yes,No,3.7,135,BTM,2,500,Dine-out
Yes,No,4.0,76,Koramangala 8th Block,2,400,Cafes
Yes,Yes,3.8,759,JP Nagar,1,600,Delivery
Yes,No,3.9,191,BTM,2,300,Delivery
Yes,No,4.4,1418,Kammanahalli,3,300,Delivery
Yes,No,4.1,502,Rajajinagar,2,600,Delivery
Yes,No,3.9,74,MG Road,4,800,Dine-out
No,No,3.3,20,Sarjapur Road,2,200,Delivery
Yes,No,3.7,16,HSR,3,150,Delivery
Yes,No,3.2,5,Shivajinagar,1,300,Delivery
Yes,No,3.7,21,BTM,3,400,Dine-out
Yes,No,3.4,257,Koramangala 1st Block,2,250,Delivery
No,No,4.0,81,Kalyan Nagar,1,1000,Dine-out
Yes,No,3.7,61,Marathahalli,3,200,Dine-out
Yes,No,3.9,468,BTM,1,650,Delivery
Yes,No,3.4,22,Rajajinagar,2,300,Delivery
Yes,No,3.7,479,BTM,3,450,Delivery
